City Name,Zone Name,Ward Name,Length of Roads (in km),Length of Tar Roads (in km),Length of Concrete Roads (in km),Length of Roads with footpaths on both sides (in km),Length of Roads with footpaths on one side (in km),Population
indore,Aerodrum Road,Sirpur ,51.553,1,50.55,1.5,0,20
indore,Dravid Nagar,Chandan Nagar,9.789,1.5,7.489,0,0,
indore,Aerodrum Road,Kalani Nagar,35.388,1.5,33.89,3,0,
indore,Kila Maidan,Sukhdev Nagar,30.167,0,30.167,5,0,
indore,Aerodrum Road,Raj Nagar,25.789,0.5,25.29,3,0,
indore,Rajmohalla,Malhargunj,22.122,2.12,20,5,NILL,
indore,Kila Maidan,Janta Colony,27.161,0.535,26.626,3,0,
indore,Kila Maidan,Juna Risala,9.194,2,7.194,0,0,
indore,Kila Maidan,Vrindavan,22.129,0.301,21.828,3,0,
indore,Maharana Pratap Sangam Nagar,Banganga,16.413,0,16.413,2,0,
indore,Maharana Pratap Sangam Nagar,Bhagiratpura,16.369,2.2,14.169,0,0,
indore,Maharana Pratap Sangam Nagar,Govind Colony,20.627,0,20.637,3,0,
indore,Maharana Pratap Sangam Nagar,Sangam Nagar,47.58,0.6,46.68,1.5,0,
indore,Aerodrum Road,Ashok Nagar,46.723,0,46.72,3,0,
indore,Aerodrum Road,Bijasan,104.392,20,84.39,0,0,
indore,Kila Maidan,Nandbag,33.987,3,30.987,0,0,
indore,Maharana Pratap Sangam Nagar,Kushwa Nagar,32.214,0,32.214,0,0,
indore,Narval Zone,Santkabir,108.704,6,102.704,0,7.5,
indore,Narval Zone,Vishvkarma,65.994,1,64.994,0,3.5,
indore,Narval Zone,Gori Nagar,33.239,NILL,33.239,0,NILL,
indore,Sukhliya,Shyam Nagar,63.98,NILL,63.98,40,10,
indore,Sukhliya,Pandit Deen Dayal Upadhyay,22.103,0.8,21.303,10,7.26,
indore,Narval Zone,Swargi Rajesh Joshi,29.494,1.5,27.994,5,NILL,
indore,Subhash Nagar,Sant Balaji Nath Maharaj,13.776,NILL,13.776,0,4,
indore,Subhash Nagar,Shree Ganesh,19.001,3.2,15.801,15,6,
indore,Subhash Nagar,Jeend Mata,9.522,0.4,9.122,3,1,
indore,Subhash Nagar,Pashupati Nath,24.946,NILL,24.946,15,3,
indore,Sukhliya,Ma Tulaja Bhawani,13.1,NILL,13.1,5,4,
indore,Scheme No. 54,Dr. Shyama Prasad Mukharji,59.125,23.65,35.475,20,NO,
indore,Vijay Nagar,Sant Ravi Das,15.589,NILL,38.1,0,1.2,
indore,Scheme No. 54,Maharaja Chatrasal,66.15,15.75,50.4,25,NO,
indore,Scheme No. 54,Atal Bihari Wajpai,45.119,6.78,38.339,13,NO,
indore,Sukhliya,Sukhliya,30.733,1,29.733,25,5.73,
indore,Scheme No. 54,Sahid Bhagat Singh,78.006,13.8,64.206,30,NO,
indore,Vijay Nagar,Lasudiya Mori,70.538,8.3,47.23,0,NILL,
indore,Vijay Nagar,Nipaniya,128.399,4.5,119.89,0,NILL,
indore,Vijay Nagar,Sai Kirpa,95.554,6,89.554,0,NILL,
indore,Saket Nagar,Haji Colony,27.242,5.442,21.8,0,0.5,
indore,Saket Nagar,Naharshawali,80.709,34.709,46,3,NILL,
indore,Saket Nagar,Khajrana Ganesh,38.522,12.022,26.5,12,NILL,
indore,Scheme no. 94,Kelash Puri,48.121,0,48.121,12,NILL,
indore,Saket Nagar,Suwami Vivekanand,37.769,1.75,36.019,28,NILL,
indore,Saket Nagar,Shree Nagar,13.64,2.04,11.6,10,NILL,
indore,Pancham Ki Fel,H.I.G,21.514,2.2,19.314,10,0,
indore,Pancham Ki Fel,Dr. Bhimrao Ambedkar,14.618,0,14.618,6,0,
indore,Pancham Ki Fel,Somnath ,5.836,1.35,4.486,0,0,
indore,Pancham Ki Fel,Sardar Wallabh bhai,35.478,7.23,28.248,17,0,
indore,Stadium Zone,Geeta Bhawan,20.961,1.2,19.761,12,0,
indore,Stadium Zone,Tilak Nagar,35.622,0,35.622,17,0,
indore,Scheme no. 94,Brajeshwari,90.293,0,90.293,8,NILL,
indore,Krishi Vihar,Bhagwati Nagar,41.895,4.1,37.79,0,0,
indore,Krishi Vihar,Musakhedi ,15.861,1.25,14.61,0,0,
indore,Krishi Vihar,Dr. Molana Ajad Nagar,18.028,2.5,15.52,0,0,
indore,Stadium Zone,Residence,62.779,15,47.779,15,1.5,
indore,Stadium Zone,South Tukuganj,57.033,14,43.033,27,1,
indore,Nagar Nigam,Shanelatagunj,19.572,1.6,17.972,3,0,
indore,Nagar Nigam,Devi Ahilyabai,40.27,5.2,35.07,10,0.45,
indore,Nagar Nigam,Imli Bazar,22.8,2.8,20,5,0,
indore,Harsidhdhi Zone,Harsaddi,16.222,1.95,14.272,4,0,
indore,Stadium Zone,Ranipura,10.504,5.5,5.004,0,0,
indore,Harsidhdhi Zone,Tatiya Sarwate,9.991,1.8,8.191,0,0,
indore,Harsidhdhi Zone,Rauji Bazar,15.523,2,13.523,1,0.352,
indore,Krishi Vihar,Nolakhkha,37.899,9.75,28.14,20,0,
indore,Krishi Vihar,Chitawad,49.18,2.6,46.58,2,0,
indore,Harsidhdhi Zone,Sant Kawar ram,34.513,2,32.513,20,0,
indore,Harsidhdhi Zone,Sahid Hemu Kalani,29.878,0.5,29.378,25,0,
indore,Raj Mohalla,Maharaja Holkar,11.337,0.485,10.852,5,NILL,
indore,Raj Mohalla,Bambai Bazar,7.59,0.5,7.09,0,NILL,
indore,Raj Mohalla,Jawahar Marg,25.263,2.852,22.411,8,NILL,
indore,Raj Mohalla,Loknayak Nagar,25.722,NILL,25.722,2,NILL,
indore,Dravid Nagar,Dravind Nagar,33.477,2.1,27.377,10,23.477,
indore,Dravid Nagar,Lokmaniya Nagar,30.721,1.8,28.921,14,16.721,
indore,Dravid Nagar,Lakshman Singh Choun,17.303,0.8,16.253,12,4.303,
indore,Bilavali Zone,Vishnupuri,85.128,3,82.128,28,NILL,
indore,Scheme No. 94,Palda,86.909,0,86.9,0,3.6,
indore,Scheme No. 94,Mundla Nayta,120.768,0,120.768,0,NILL,
indore,Bilavali Zone,Bilawali,102.954,10,92.95,20,0,
indore,Bilavali Zone,Chohitram,72.076,5,67.09,15,0,
indore,Hawa Bangla,Sukh Niwas,109.564,25,55,5,0,
indore,Bilavali Zone,Dr. Rajendra Prasad,57.557,5,52.557,6,NILL,
indore,Bilavali Zone,Annpurna,45.666,NILL,45.666,35,NILL,
indore,Hawa Bangla,Sudama Nagar,39.04,2,35,25,0,
