City Name,Zone Name,Ward Name,Ward No.,Length of Roads (in km),Length of Tar Roads (in km),Length of Concrete Roads (in km),Length of Roads with footpaths on both sides (in km),Length of Roads with footpaths on one side (in km),Population
Muzaffarpur,NORTH,Bairiya,1,18.7,3.1,15.6,NA,NA,48
Muzaffarpur,NORTH,Jhitkahiya,2,18.9,2.7,16.2,NA,NA,
Muzaffarpur,NORTH,Brahampura,3,5.36,0.8,4.56,NA,NA,
Muzaffarpur,NORTH,Juran Chhapra,4,8.4,2.3,6.1,NA,NA,
Muzaffarpur,NORTH,Mahesh Babu Chowk,5,6.69,1.4,5.29,NA,NA,
Muzaffarpur,WEST,Mehndi Hassan Chowk ,6,9.69,1.2,8.49,NA,NA,
Muzaffarpur,WEST,Bibiganj,7,18.04,1.5,16.54,NA,NA,
Muzaffarpur,WEST,Maripur,8,7.63,0.4,7.23,NA,NA,
Muzaffarpur,WEST,Power House Chowk,9,11.01,1.7,9.31,NA,NA,
Muzaffarpur,WEST,Chakkar ,10,11.79,2.5,9.29,NA,NA,
Muzaffarpur,WEST,Yogiyamath,11,12.96,2.4,10.56,NA,NA,
Muzaffarpur,NORTH,Sikandarpur Kundal,12,19.53,1.2,18.33,NA,NA,
Muzaffarpur,NORTH,Stadium,13,9.45,1.8,7.65,NA,NA,
Muzaffarpur,NORTH,Sikanderpur,14,9.88,1.25,8.63,NA,NA,
Muzaffarpur,NORTH,Balughat,15,12.03,0.5,11.53,NA,NA,
Muzaffarpur,NORTH,Lakridhahi,16,9.23,0.8,8.43,NA,NA,
Muzaffarpur,NORTH,Gola Bandh ,17,9.61,1.4,8.21,NA,NA,
Muzaffarpur,NORTH,Banaras Bank Chowk,18,8.08,2.2,5.88,NA,NA,
Muzaffarpur,NORTH,Nunfar Tejpal,19,6.36,1.5,4.86,NA,NA,
Muzaffarpur,NORTH,Sutapatti,20,5.86,1.7,4.16,NA,NA,
Muzaffarpur,NORTH,Garib Sthan ,21,6.46,2.8,3.66,NA,NA,
Muzaffarpur,EAST,Kedar Nath Road,22,6.34,2.1,4.24,NA,NA,
Muzaffarpur,WEST,Motijheel,23,5.82,1.5,4.32,NA,NA,
Muzaffarpur,WEST,Diwan Road,24,7.55,2.5,5.05,NA,NA,
Muzaffarpur,WEST,Pankhatoli,25,6.51,0.5,6.01,NA,NA,
Muzaffarpur,WEST,Speaker Chowk,26,6.68,1.1,5.58,NA,NA,
Muzaffarpur,WEST,Chakkar ,27,8.6,0.75,7.85,NA,NA,
Muzaffarpur,WEST,University,28,11.33,2.9,8.43,NA,NA,
Muzaffarpur,WEST,Khabra,29,12.45,1.3,11.15,NA,NA,
Muzaffarpur,SOUTH,Neem Chowk,30,8.2,0.25,7.95,NA,NA,
Muzaffarpur,SOUTH,Atardah,31,18.95,1.4,17.55,NA,NA,
Muzaffarpur,SOUTH,Sadpura,32,15.85,1.2,14.65,NA,NA,
Muzaffarpur,SOUTH,Sadpura,33,11.77,1.25,10.52,NA,NA,
Muzaffarpur,WEST,Amgola,34,10.97,0.5,10.47,NA,NA,
Muzaffarpur,WEST,Devi Madir,35,9.88,1.8,8.08,NA,NA,
Muzaffarpur,EAST,Mithanpura,36,11.16,0.5,10.66,NA,NA,
Muzaffarpur,EAST,Hathi Chowk,37,8.37,1.75,6.62,NA,NA,
Muzaffarpur,EAST,Chakbasu,38,6.84,0.75,6.09,NA,NA,
Muzaffarpur,EAST,Bahalkhana,39,5.14,0.75,4.39,NA,NA,
Muzaffarpur,EAST,Data Kambal Sah ,40,7.08,1.3,5.78,NA,NA,
Muzaffarpur,EAST,Kanhauli Dih,41,8.47,1.1,7.37,NA,NA,
Muzaffarpur,EAST,Malighat,42,6.33,0.5,5.83,NA,NA,
Muzaffarpur,EAST,Pakki Saray,43,5.84,0.5,5.34,NA,NA,
Muzaffarpur,EAST,Pani Kal Chowk,44,5.39,0.5,4.89,NA,NA,
Muzaffarpur,EAST,Soda Godam,45,18.98,1,17.98,NA,NA,
Muzaffarpur,EAST,Rambag,46,13.73,0.75,12.98,NA,NA,
Muzaffarpur,EAST,Khadi Bhandar,47,25.93,5.25,20.68,NA,NA,
Muzaffarpur,SOUTH,Kanhauli,48,23.39,4.9,18.49,NA,NA,
Muzaffarpur,SOUTH,Bela,49,37.15,2.25,34.9,NA,NA,
