City Name,Zone Name,Ward Name,Number of Poles,No. of poles of LED Bulbs,No. of poles with conventional / non LED Lights,Total length of roads (in km),Number of street lights / poles per km of road,Total no. of streets,No. of streets with adequate street lighting facilties,Population
Dharamshala,Dharamshala,Forsythganj,136,136,NA,NA,NA,NA,NA,0.5
Dharamshala,Dharamshala,Bhagsunag,273,273,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Mcleodganj,179,179,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Kashmir House,296,296,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Khajanchi Mohalla,216,216,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Kotwali Bazar,591,591,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Secretariat,402,402,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Khel Parishar,229,229,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Sakoh,86,86,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Shyam Nagar,168,168,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Ram Nagar,106,106,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Barol,135,135,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Dari,163,163,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Kand,86,86,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Khanyara,95,95,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Sidhpur,53,53,NA,NA,NA,NA,NA,
Dharamshala,Dharamshala,Sidhbari,334,334,NA,NA,NA,NA,NA,
