City Name,Zone Name,Ward Name,Number of Poles,No. of poles of LED Bulbs,No. of poles with conventional / non LED Lights,Total length of roads (in km),Number of street lights / poles per km of road,Total no. of streets,No. of streets with adequate street lighting facilties,Population
Kohima,North,High School Ward,131,85,46,14,10,NA,NA,1.15
Kohima,North,Bayavu Ward,54,35,19,8,7,NA,NA,
Kohima,North,North Block Ward,40,26,14,4,9,NA,NA,
Kohima,North,Naga Bazar Ward,22,14,8,2,11,NA,NA,
Kohima,North,Kitsubozou Ward,9,6,3,1,12,NA,NA,
Kohima,North,D Block Ward,11,7,4,1,10,NA,NA,
Kohima,North,Dak Lane Ward,35,23,12,3,10,NA,NA,
Kohima,West,New Market Ward,21,14,7,2,12,NA,NA,
Kohima,South,Mid Lane Ward,23,15,8,2,12,NA,NA,
Kohima,West,Hospital Colony/ Officers Hill Ward,60,39,21,8,7,NA,NA,
Kohima,South,PWD Colony Ward,28,18,10,3,11,NA,NA,
Kohima,South,Chandmari Upper Ward,17,11,6,2,10,NA,NA,
Kohima,South,Chandmari Lower Colony Ward,5,3,2,0.35,11,NA,NA,
Kohima,South,Poter Lane/ Old Ministers Hill Ward,55,36,19,9,6,NA,NA,
Kohima,South,AG Colony Ward,35,23,12,6,6,NA,NA,
Kohima,South,New Ministers Hill/ Lerie/ NST/ D Farm,161,105,56,35,5,NA,NA,
Kohima,West,Agri Forest Electrical Colony Ward,50,33,18,8,6,NA,NA,
Kohima,West,Para Medical Colony Ward,40,26,14,4,10,NA,NA,
Kohima,West,PR Hill Colony Ward,40,26,14,3,11,NA,NA,
