City Name,Zone Name,Ward Name,Number of Poles,No. of poles of LED Bulbs,No. of poles with conventional / non LED Lights,Total length of roads (in km),Number of street lights / poles per km of road,Total no. of streets,No. of streets with adequate street lighting facilties,Population
KOTA,KOTA,1,437,437,0,13.11,33,8,NA,10
KOTA,KOTA,2,1528,1528,0,44.31,34,27,NA,
KOTA,KOTA,3,1173,1173,0,31.67,37,18,NA,
KOTA,KOTA,4,744,736,8,20.83,36,48,NA,
KOTA,KOTA,5,627,627,0,18.18,34,13,NA,
KOTA,KOTA,8,1199,1199,0,32.37,37,16,NA,
KOTA,KOTA,9,1190,1190,0,30.94,38,24,NA,
KOTA,KOTA,11,91,91,0,2.55,36,4,NA,
KOTA,KOTA,16,94,94,0,2.54,37,7,NA,
KOTA,KOTA,18,51,51,0,1.43,36,3,NA,
KOTA,KOTA,21,12,12,0,0.32,37,1,NA,
KOTA,KOTA,22,941,941,0,25.41,37,52,NA,
KOTA,KOTA,23,1181,1181,0,33.07,36,58,NA,
KOTA,KOTA,24,540,540,0,15.66,34,48,NA,
KOTA,KOTA,25,691,691,0,17.97,38,62,NA,
KOTA,KOTA,26,76,76,0,2.13,36,7,NA,
KOTA,KOTA,27,1017,1007,10,27.46,37,65,NA,
KOTA,KOTA,28,115,115,0,2.99,38,4,NA,
KOTA,KOTA,30,85,85,0,2.38,36,12,NA,
KOTA,KOTA,31,10,10,0,0.27,37,2,NA,
KOTA,KOTA,32,306,306,0,8.57,36,9,NA,
KOTA,KOTA,33,162,162,0,4.21,38,22,NA,
KOTA,KOTA,34,99,99,0,2.77,36,14,NA,
KOTA,KOTA,45,12,12,0,0.32,37,3,NA,
KOTA,KOTA,46,30,30,0,0.58,34,1,NA,
KOTA,KOTA,50,101,101,0,2.73,37,6,NA,
KOTA,KOTA,52,24,24,0,0.62,38,3,NA,
KOTA,KOTA,54,78,78,0,2.18,36,4,NA,
KOTA,KOTA,55,13,13,0,0.35,37,2,NA,
KOTA,KOTA,57,181,181,0,5.25,34,5,NA,
KOTA,KOTA,59,40,40,0,1.04,38,1,NA,
KOTA,KOTA,62,61,61,0,1.77,34,1,NA,
