City Name,Zone Name,Ward Name,Number of Poles,No. of poles of LED Bulbs,No. of poles with conventional / non LED Lights,Total length of roads (in km),Number of street lights / poles per km of road,Total no. of streets,No. of streets with adequate street lighting facilties,Population
Thanjavur,Thanjavur,1,244,186,58,9,27.1,19,19,2.91
Thanjavur,Thanjavur,2,283,245,38,10,28.3,21,20,
Thanjavur,Thanjavur,3,265,247,18,9,29.4,20,20,
Thanjavur,Thanjavur,4,194,180,14,7,27.7,14,11,
Thanjavur,Thanjavur,5,113,87,26,4,28.3,8,5,
Thanjavur,Thanjavur,6,220,175,45,6,36.7,16,12,
Thanjavur,Thanjavur,7,104,73,31,3.5,29.7,8,8,
Thanjavur,Thanjavur,8,103,67,36,4,25.8,7,6,
Thanjavur,Thanjavur,9,189,151,38,5.5,34.4,14,14,
Thanjavur,Thanjavur,10,136,110,26,4,34,10,7,
Thanjavur,Thanjavur,11,98,80,18,3,32.7,7,7,
Thanjavur,Thanjavur,12,132,114,18,4,33,11,8,
Thanjavur,Thanjavur,13,155,135,20,4.5,34.4,12,9,
Thanjavur,Thanjavur,14,171,115,56,5,34.2,13,12,
Thanjavur,Thanjavur,15,114,76,38,4,28.5,9,8,
Thanjavur,Thanjavur,16,88,70,18,3,29.3,7,6,
Thanjavur,Thanjavur,17,116,96,20,4,29,8,6,
Thanjavur,Thanjavur,18,211,165,46,7,30.1,16,12,
Thanjavur,Thanjavur,19,195,175,20,7,27.9,15,14,
Thanjavur,Thanjavur,20,209,137,72,7.5,27.9,16,13,
Thanjavur,Thanjavur,21,97,82,15,3.8,25.5,7,4,
Thanjavur,Thanjavur,22,252,109,143,7,36,19,15,
Thanjavur,Thanjavur,23,178,79,99,6,29.7,13,12,
Thanjavur,Thanjavur,24,127,102,25,4.5,28.2,9,5,
Thanjavur,Thanjavur,25,219,138,81,7,31.3,16,13,
Thanjavur,Thanjavur,26,265,175,90,9,29.4,20,16,
Thanjavur,Thanjavur,27,73,38,35,3,24.3,5,5,
Thanjavur,Thanjavur,28,53,44,9,2.5,21.2,4,4,
Thanjavur,Thanjavur,29,85,67,18,3.3,25.8,6,6,
Thanjavur,Thanjavur,30,221,203,18,7.5,29.5,15,12,
Thanjavur,Thanjavur,31,83,66,17,3.4,24.4,6,4,
Thanjavur,Thanjavur,32,183,164,19,5.8,31.6,14,12,
Thanjavur,Thanjavur,33,117,85,32,4.5,26,9,8,
Thanjavur,Thanjavur,34,64,55,9,3,21.3,5,5,
Thanjavur,Thanjavur,35,221,68,153,7,31.6,17,14,
Thanjavur,Thanjavur,36,478,332,146,14,34.1,36,31,
Thanjavur,Thanjavur,37,497,474,23,15,33.1,33,27,
Thanjavur,Thanjavur,38,346,313,33,10.5,33,24,20,
Thanjavur,Thanjavur,39,732,498,234,20.5,35.7,38,37,
Thanjavur,Thanjavur,40,420,302,118,14,30,28,26,
Thanjavur,Thanjavur,41,413,354,59,14,29.5,24,19,
Thanjavur,Thanjavur,42,375,311,64,12,31.3,28,28,
Thanjavur,Thanjavur,43,88,60,28,3.5,25.1,6,5,
Thanjavur,Thanjavur,44,393,312,81,12.5,31.4,30,32,
Thanjavur,Thanjavur,45,248,219,29,8,31,19,14,
Thanjavur,Thanjavur,46,207,168,39,7,29.6,14,10,
Thanjavur,Thanjavur,47,35,30,5,2.2,15.9,4,4,
Thanjavur,Thanjavur,48,117,96,21,4,29.3,9,7,
Thanjavur,Thanjavur,49,116,95,21,4,29,8,6,
Thanjavur,Thanjavur,50,293,144,149,9.5,30.8,22,20,
Thanjavur,Thanjavur,51,788,636,152,25,31.5,49,47,
