City Name,Zone Name,Ward Name,Number of Poles,No. of poles of LED Bulbs,No. of poles with conventional / non LED Lights,Total length of roads (in km),Number of street lights / poles per km of road,Total no. of streets,No. of streets with adequate street lighting facilties,Population
Bareilly,ZONE -01,Khalilpur,420,355,37,2.3,46,1,37,9.04
Bareilly,ZONE -01,Maula Nagar,517,437,40,2.8,56,1,40,
Bareilly,ZONE -01,Mathurapur,333,186,30,3,60,1,117,
Bareilly,ZONE -01,Swale Nagar,328,168,40,3.4,68,1,20,
Bareilly,ZONE -01,Kat Ghar,200,118,42,3.2,64,1,40,
Bareilly,ZONE -01, Jauharpur,313,248,25,3.8,76,1,40,
Bareilly,ZONE -01,Nandausi,280,205,45,3,60,1,30,
Bareilly,ZONE -01,Chaudhary Mohalla,464,384,40,3.4,68,1,40,
Bareilly,ZONE -01,Malookpur,292,232,25,2.1,42,1,35,
Bareilly,ZONE -01,Maheshpur Ataria,372,312,25,2,40,1,40,
Bareilly,ZONE -01,Kila Chhawni,244,159,45,3,60,1,40,
Bareilly,ZONE -01,Bankhana,345,270,45,3,60,1,30,
Bareilly,ZONE -01, Saitpur Hawkins,593,528,25,2.1,42,1,40,
Bareilly,ZONE -01,Kunwarpur,313,218,45,1,20,1,50,
Bareilly,ZONE -01,Gulab Nagar,244,99,80,2.4,48,1,65,
Bareilly,ZONE -01,Sarania,121,15,76,3,60,1,30,
Bareilly,ZONE -01, Sahukara,504,454,30,3.2,64,1,20,
Bareilly,ZONE -01,Khannu Mohalla,421,351,30,2,40,1,40,
Bareilly,ZONE -01,Vidhaulia,482,417,35,3,60,1,30,
Bareilly,ZONE -01, Kher Shekh Mitthoo,379,329,30,2,40,1,20,
Bareilly,ZONE -01, English Ganj,289,209,50,3,60,1,30,
Bareilly,ZONE -01,Saudagaran,664,617,27,2,40,1,20,
Bareilly,Zone-02, Biharipur Civil Lines,352,281,40,3,60,1,30,
Bareilly,Zone-02, Jatawpura,336,268,28,4,80,1,40,
Bareilly,Zone-02, Sugar Factory,330,256,44,3.2,64,1,30,
Bareilly,Zone-02, Nekpur,460,410,30,3,60,1,20,
Bareilly,Zone-02, Veer Bhatti,303,213,50,2,40,1,40,
Bareilly,Zone-02, Naumahala,439,391,28,1,20,1,20,
Bareilly,Zone-02, Sithaura,243,178,25,3,60,1,40,
Bareilly,Zone-02, Shanti vihar,317,252,35,2.7,54,1,30,
Bareilly,Zone-02, Azam Nagar,270,205,25,3,60,1,40,
Bareilly,Zone-02, Subhash Nagar,494,444,30,3.1,62,1,20,
Bareilly,Zone-02,  Madi Nath,289,224,35,2,40,1,30,
Bareilly,Zone-02, Gandhi Udyan,1078,1033,25,3,60,1,20,
Bareilly,Zone-02,  Rampur Bagh,575,505,30,2.1,42,1,40,
Bareilly,Zone-02,  Benipur Chaudhary,293,243,20,2,40,1,30,
Bareilly,Zone-02, Biharipur Memaran,379,309,30,2,40,1,40,
Bareilly,Zone-02,Faltoon Ganj,193,103,50,3.2,64,1,40,
Bareilly,Zone-02, Shahdana,336,271,35,1,20,1,30,
Bareilly,Zone-02,  Kanoon Goyan,404,359,25,5,100,1,20,
Bareilly,Zone-02,  Siklapur,323,255,38,2.8,56,1,30,
Bareilly,Zone-02,  Bajari Pooranmal,402,332,40,4,80,1,30,
Bareilly,Zone-02,  Sahabad,220,387,30,3,60,1,35,
